# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_cap,t_res,mobilization,failed,softened
0,1,6.05,6.3,6.2406585608,6.3,5.000000000000029,5.000000000000029,5.000000000000029,,1.0,True,False
1,1,6.2406585608,6.3,6.3,6.3,9.794040667115803,10.0,10.0,,0.9794040667115803,True,False
2,1,6.3,6.3,7.290138350297803,6.3,3.409622547448786,10.0,10.0,,0.3409622547448786,False,False
3,1,7.290138350297803,6.3,8.28027670059491,6.3,2.9996825136759933,10.0,10.0,,0.2999682513675993,False,False
4,1,8.28027670059491,6.3,9.27041505089306,6.3,6.133770468293107,10.0,10.0,,0.6133770468293107,False,False
5,1,9.27041505089306,6.3,10.26055340119468,6.3,6.625049217930099,10.0,10.0,,0.6625049217930099,False,False
6,1,10.26055340119468,6.3,11.250691751496992,6.3,6.7169232511620836,10.0,10.0,,0.6716923251162084,False,False
7,1,11.250691751496992,6.3,12.2408301018,6.3,6.369044913453436,10.0,10.0,,0.6369044913453437,False,False
8,1,12.2408301018,6.3,12.3,6.3,5.000000000000034,5.000000000000034,5.000000000000034,,1.0,True,False
9,2,6.05,6.9,6.2951324353,6.9,5.000000000000008,5.000000000000008,5.000000000000008,,1.0,True,False
10,2,6.2951324353,6.9,6.3,6.9,10.0,10.0,10.0,,1.0,True,False
11,2,6.3,6.9,7.289407857730787,6.9,10.0,10.0,10.0,,1.0,True,False
12,2,7.289407857730787,6.9,8.278815715461228,6.9,7.2266382919510015,10.0,10.0,,0.7226638291951002,False,False
13,2,8.278815715461228,6.9,9.268223573191323,6.9,7.115509446396183,10.0,10.0,,0.7115509446396183,False,False
14,2,9.268223573191323,6.9,10.257631430927665,6.9,7.294806719422382,10.0,10.0,,0.7294806719422382,False,False
15,2,10.257631430927665,6.9,11.247039288663428,6.9,7.238787394816173,10.0,10.0,,0.7238787394816173,False,False
16,2,11.247039288663428,6.9,12.2364471464,6.9,6.848774602166431,10.0,10.0,,0.6848774602166431,False,False
17,2,12.2364471464,6.9,12.3,6.9,5.0000000000000755,5.0000000000000755,5.0000000000000755,,1.0,True,False
18,3,6.05,7.5,6.3,7.5,3.6423459907150706,3.6423459907150706,3.6423459907150706,,1.0,True,False
19,3,6.3,7.5,6.3931854094,7.5,5.363000899880798,8.642345990715073,8.642345990715073,,0.6205492010667649,False,False
20,3,6.3931854094,7.5,7.3662149941814254,7.5,9.649991510711256,10.0,10.0,,0.9649991510711257,False,False
21,3,7.3662149941814254,7.5,8.339244578962504,7.5,10.0,10.0,10.0,,1.0,True,False
22,3,8.339244578962504,7.5,9.312274163742542,7.5,8.557212245447165,10.0,10.0,,0.8557212245447164,False,False
23,3,9.312274163742542,7.5,10.285303748529287,7.5,8.007245006664759,10.0,10.0,,0.8007245006664758,False,False
24,3,10.285303748529287,7.5,11.258333333315221,7.5,7.783388304260718,10.0,10.0,,0.7783388304260719,False,False
25,3,11.258333333315221,7.5,12.2313629181,7.5,7.362189225730465,10.0,10.0,,0.7362189225730466,False,False
26,3,12.2313629181,7.5,12.3,7.5,5.000000000000029,5.000000000000029,5.000000000000029,,1.0,True,False
27,4,6.05,8.1,6.3,8.1,2.1854075945564024,2.1854075945564024,2.1854075945564024,,1.0,True,False
28,4,6.3,8.1,6.6219756822999996,8.1,4.224793748524825,7.1854075945564,7.1854075945564,,0.5879685589061768,False,False
29,4,6.6219756822999996,8.1,7.555878814614989,8.1,8.774608186171037,10.0,10.0,,0.8774608186171037,False,False
30,4,7.555878814614989,8.1,8.489781946930327,8.1,10.0,10.0,10.0,,1.0,True,False
31,4,8.489781946930327,8.1,9.423685079244452,8.1,9.572575128651991,10.0,10.0,,0.9572575128651991,False,False
32,4,9.423685079244452,8.1,10.357588211563087,8.1,8.425875108644124,10.0,10.0,,0.8425875108644124,False,False
33,4,10.357588211563087,8.1,11.29149134388033,8.1,8.157097434371924,10.0,10.0,,0.8157097434371924,False,False
